dataset,sequence,method,method_id,cache_policy,cache_window_size,status,num_frames,ate,rpe_trans,rpe_rot_deg,align_scale,inference_sec,fps_inference,peak_allocated_mib,peak_reserved_mib
tum,rgbd_dataset_freiburg3_walking_halfsphere,K4,k4,anchor_recent_dino_diverse_k4,4,ok,90,0.040050103072826804,0.023684869531655963,0.41160785643644787,4.279280270091504,6.415738475974649,14.028003220054512,8626.92626953125,9464.0
tum,rgbd_dataset_freiburg3_walking_halfsphere,K6,k6,anchor_recent_dino_diverse_k6,6,ok,90,0.04965877021511685,0.020635689360085748,0.38625921916695727,4.1102898092942315,7.346374023007229,12.250941718749928,9004.71142578125,9928.0
tum,rgbd_dataset_freiburg3_walking_halfsphere,K8,k8,anchor_recent_dino_diverse_k8,8,ok,90,0.06710909201915212,0.023408467354604647,0.3849008758121944,3.9059357388161646,7.347588432952762,12.24891688222007,9384.3486328125,10632.0
tum,rgbd_dataset_freiburg3_walking_rpy,Full cache,full_cache,full_cache,,ok,90,0.05173763401827246,0.020576426309970423,0.4039842267548259,3.2742311016256416,20.592701917048544,4.370480394585311,17479.05224609375,43982.0
tum,rgbd_dataset_freiburg3_walking_rpy,K4,k4,anchor_recent_dino_diverse_k4,4,ok,90,0.04528068018957053,0.031670107707791696,0.5927089017740775,3.350887326518493,6.444535164046101,13.965320649052817,8626.92626953125,9464.0
tum,rgbd_dataset_freiburg3_walking_rpy,K6,k6,anchor_recent_dino_diverse_k6,6,ok,90,0.04058374469891887,0.02456829699724508,0.4478915537546561,3.4327092622757522,6.710616525961086,13.411584412821192,9004.71142578125,9928.0
tum,rgbd_dataset_freiburg3_walking_rpy,K8,k8,anchor_recent_dino_diverse_k8,8,ok,90,0.0452179420288298,0.02545564515034987,0.4733438795100046,3.485239411800181,8.008051736047491,11.238688630703205,9384.3486328125,10632.0
tum,rgbd_dataset_freiburg3_walking_static,Full cache,full_cache,full_cache,,ok,90,0.014069367374212955,0.005798762777342532,0.232857802601019,2.399349341874254,20.399360531941056,4.411903003482838,17479.05224609375,43982.0
tum,rgbd_dataset_freiburg3_walking_static,K4,k4,anchor_recent_dino_diverse_k4,4,ok,90,0.01072326286697425,0.006885172314014289,0.22997079723874908,2.5812141130772206,7.183854291914031,12.528093742282854,8626.92626953125,9464.0
tum,rgbd_dataset_freiburg3_walking_static,K6,k6,anchor_recent_dino_diverse_k6,6,ok,90,0.011525757707555465,0.006649446032615585,0.23332857349732958,2.3765313471968974,6.718634032062255,13.395580049532018,9004.71142578125,9928.0
tum,rgbd_dataset_freiburg3_walking_static,K8,k8,anchor_recent_dino_diverse_k8,8,ok,90,0.01271650955099865,0.006189470299551149,0.23251761836808377,2.148996921382837,7.3371385789942,12.266362292469813,9384.3486328125,10632.0
tum,rgbd_dataset_freiburg3_walking_xyz,Full cache,full_cache,full_cache,,ok,90,0.022723108646002646,0.014528641141861056,0.3054581990415906,2.770863822959865,20.861127023934387,4.314244378874699,17479.05224609375,43982.0
tum,rgbd_dataset_freiburg3_walking_xyz,K4,k4,anchor_recent_dino_diverse_k4,4,ok,90,0.034590995287587044,0.017506162191519382,0.3281486374528737,3.3316345343702607,6.432780066039413,13.99084051934826,8626.92626953125,9464.0
tum,rgbd_dataset_freiburg3_walking_xyz,K6,k6,anchor_recent_dino_diverse_k6,6,ok,90,0.045562450448360416,0.017677248734409592,0.3247196040459182,3.069372946565008,7.476237224997021,12.038141285710187,9004.71142578125,9928.0
tum,rgbd_dataset_freiburg3_walking_xyz,K8,k8,anchor_recent_dino_diverse_k8,8,ok,90,0.05464650398461781,0.017182047065155,0.31626174308709276,3.1824981283203,7.884159452980384,11.41529424116074,9384.3486328125,10632.0
